Year,Month,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
2020,Apr,2699,6976,828,32,0,10535
2020,May,4646,9182,1047,27,0,14903
2020,Jun,5213,10289,1001,28,0,16531
2020,Jul,6124,10635,1014,28,0,17801
2020,Aug,5466,9754,1047,29,0,16297
2020,Sep,5774,9063,916,28,0,15782
2020,Oct,4007,8234,805,30,0,13076
2020,Nov,2928,7762,834,32,0,11557
2020,Dec,2388,7384,816,32,0,10621
2021,Jan,3021,6909,852,31,0,10814
2021,Feb,2683,5989,745,28,0,9445
2021,Mar,2859,7814,806,29,0,11508
,,,,,,,
Note(s) :,,,,,,,
1 terajoule = 1012joules.,,,,,,,
Figures may not add up to the respective totals because of rounding.,,,,,,,
#NAME?,,,,,,,
,,,,,,,
Source :,,,,,,,
CLP Power Hong Kong Limited and,,,,,,,
"The Hongkong Electric Company, Limited",,,,,,,
(Enquiries on the energy statistics can be directed to,,,,,,,
telephone no. : 3903 7246,,,,,,,
email : energy@censtatd.gov.hk)),,,,,,,
